Date,Decimal Date,MJD,Up
2024-03-02 00:00:00,2024.167008898015,60371.0,0.0008079053950496018
2024-03-02 03:00:00,2024.1673511293634,60371.125,0.0008611626690253615
2024-03-02 06:00:00,2024.1676933607118,60371.25,0.0008930941112339497
2024-03-02 09:00:00,2024.1680355920603,60371.375,0.0007641034317202866
2024-03-02 12:00:00,2024.1683778234087,60371.5,0.0004918368067592382
2024-03-02 15:00:00,2024.168720054757,60371.625,0.00016748547204770148
2024-03-02 18:00:00,2024.1690622861054,60371.75,-8.549381163902581e-05
2024-03-02 21:00:00,2024.1694045174538,60371.875,-0.00029947570874355733
2024-03-03 00:00:00,2024.1697467488023,60372.0,-0.000517234206199646
2024-03-03 03:00:00,2024.1700889801507,60372.125,-0.0006865124450996518
2024-03-03 06:00:00,2024.170431211499,60372.25,-0.0009178027976304292
2024-03-03 09:00:00,2024.1707734428473,60372.375,-0.0012913877144455
2024-03-03 12:00:00,2024.1711156741958,60372.5,-0.0011988836340606
2024-03-03 15:00:00,2024.1714579055442,60372.625,-0.0008728053653612733
2024-03-03 18:00:00,2024.1718001368924,60372.75,-0.0011316058225929
2024-03-03 21:00:00,2024.1721423682409,60372.875,-0.0015539397718384
2024-03-04 00:00:00,2024.1724845995893,60373.0,-0.0015514119295403
2024-03-04 03:00:00,2024.1728268309378,60373.125,-0.0010704039596021
2024-03-04 06:00:00,2024.1731690622862,60373.25,-0.00081291125388816
2024-03-04 09:00:00,2024.1735112936344,60373.375,-0.0013364676851779
2024-03-04 12:00:00,2024.1738535249829,60373.5,-0.0019317711703479
2024-03-04 15:00:00,2024.1741957563313,60373.625,-0.0019903741776943
2024-03-04 18:00:00,2024.1745379876797,60373.75,-0.0017556785605847
2024-03-04 21:00:00,2024.174880219028,60373.875,-0.0013091333676129
2024-03-05 00:00:00,2024.1752224503764,60374.0,-0.0012388278264552
2024-03-05 03:00:00,2024.1755646817248,60374.125,-0.0012922242749482
