Date,Decimal Date,MJD,Up
2022-07-18 06:00:00,2022.5441478439425,59778.25,-0.0022477391175925
2022-07-18 09:00:00,2022.544490075291,59778.375,-0.0022952486760914
2022-07-18 12:00:00,2022.5448323066394,59778.5,-0.0024779676459729
2022-07-18 15:00:00,2022.5451745379876,59778.625,-0.0026457749772816
2022-07-18 18:00:00,2022.545516769336,59778.75,-0.0029511561151593
2022-07-18 21:00:00,2022.5458590006845,59778.875,-0.0031425640918314
2022-07-19 00:00:00,2022.546201232033,59779.0,-0.0031158393248915
2022-07-19 03:00:00,2022.5465434633813,59779.125,-0.0032392002176493
2022-07-19 06:00:00,2022.5468856947296,59779.25,-0.0031671407632529
2022-07-19 09:00:00,2022.547227926078,59779.375,-0.0030883699655532
2022-07-19 12:00:00,2022.5475701574264,59779.5,-0.0030575366690754
2022-07-19 15:00:00,2022.5479123887749,59779.625,-0.0030363679397851
2022-07-19 18:00:00,2022.5482546201233,59779.75,-0.0030153868719935
2022-07-19 21:00:00,2022.5485968514715,59779.875,-0.0029471674934029
2022-07-20 00:00:00,2022.54893908282,59780.0,-0.0025868513621389
2022-07-20 03:00:00,2022.5492813141684,59780.125,-0.0023009348660707
2022-07-20 06:00:00,2022.5496235455169,59780.25,-0.002060754224658
2022-07-20 09:00:00,2022.549965776865,59780.375,-0.0017540632979944
2022-07-20 12:00:00,2022.5503080082135,59780.5,-0.0014076239895075
2022-07-20 15:00:00,2022.550650239562,59780.625,-0.0010924967937171
2022-07-20 18:00:00,2022.5509924709104,59780.75,-0.0007571548921987414
2022-07-20 21:00:00,2022.5513347022588,59780.875,-0.00058413902297616
2022-07-21 00:00:00,2022.551676933607,59781.0,-0.0003538595628924668
2022-07-21 03:00:00,2022.5520191649555,59781.125,-0.000305144494632259
2022-07-21 06:00:00,2022.552361396304,59781.25,-0.0002051113406196237
2022-07-21 09:00:00,2022.5527036276524,59781.375,-0.0001565235434100032
2022-07-21 12:00:00,2022.5530458590006,59781.5,-6.264872354222462e-05
2022-07-21 15:00:00,2022.553388090349,59781.625,3.7980780689395033e-06
2022-07-21 18:00:00,2022.5537303216975,59781.75,-7.575661584269255e-05
2022-07-21 21:00:00,2022.554072553046,59781.875,-0.00016240563127212226
2022-07-22 00:00:00,2022.5544147843943,59782.0,-0.00013600422244053334
2022-07-22 03:00:00,2022.5547570157426,59782.125,-0.00019533914746716616
2022-07-22 06:00:00,2022.555099247091,59782.25,-4.068277485202998e-05
2022-07-22 09:00:00,2022.5554414784394,59782.375,-9.171337296720594e-06
2022-07-22 12:00:00,2022.5557837097879,59782.5,5.491976480698213e-05
2022-07-22 15:00:00,2022.5561259411363,59782.625,2.0941399270668622e-05
2022-07-22 18:00:00,2022.5564681724845,59782.75,1.5131983673200011e-05
2022-07-22 21:00:00,2022.556810403833,59782.875,-4.628500028047711e-05
2022-07-23 00:00:00,2022.5571526351814,59783.0,-1.1225638445466757e-05
2022-07-23 03:00:00,2022.5574948665299,59783.125,-8.307007374241948e-05
2022-07-23 06:00:00,2022.557837097878,59783.25,-0.00011735866428352892
2022-07-23 09:00:00,2022.5581793292265,59783.375,-0.00012385952868498862
2022-07-23 12:00:00,2022.558521560575,59783.5,5.272525595501065e-05
2022-07-23 15:00:00,2022.5588637919234,59783.625,0.00010160895180888474
2022-07-23 18:00:00,2022.5592060232718,59783.75,7.780760643072426e-05
2022-07-23 21:00:00,2022.55954825462,59783.875,9.552549454383552e-05
2022-07-24 00:00:00,2022.5598904859685,59784.0,0.00016442540800198913
2022-07-24 03:00:00,2022.560232717317,59784.125,1.1174444807693362e-05
2022-07-24 06:00:00,2022.5605749486654,59784.25,-0.00012828971375711262
2022-07-24 09:00:00,2022.5609171800138,59784.375,-0.0002858992666006088
2022-07-24 12:00:00,2022.561259411362,59784.5,-0.0004004338989034295
2022-07-24 15:00:00,2022.5616016427105,59784.625,-0.0005734703736379743
2022-07-24 18:00:00,2022.561943874059,59784.75,-0.0007159120868891478
2022-07-24 21:00:00,2022.5622861054073,59784.875,-0.0008435560157522559
2022-07-25 00:00:00,2022.5626283367556,59785.0,-0.0008776028407737613
2022-07-25 03:00:00,2022.562970568104,59785.125,-0.0010827657533809
2022-07-25 06:00:00,2022.5633127994524,59785.25,-0.0011561810970306
2022-07-25 09:00:00,2022.5636550308009,59785.375,-0.0011554524535313
2022-07-25 12:00:00,2022.5639972621493,59785.5,-0.0011116275563836
2022-07-25 15:00:00,2022.5643394934975,59785.625,-0.0011018622899428
2022-07-25 18:00:00,2022.564681724846,59785.75,-0.0010981070809066
2022-07-25 21:00:00,2022.5650239561944,59785.875,-0.0011804606765508
2022-07-26 00:00:00,2022.5653661875428,59786.0,-0.0011154147796332
2022-07-26 03:00:00,2022.565708418891,59786.125,-0.0012860381975769
2022-07-26 06:00:00,2022.5660506502395,59786.25,-0.0013206782750785
2022-07-26 09:00:00,2022.566392881588,59786.375,-0.0012764120474457
2022-07-26 12:00:00,2022.5667351129364,59786.5,-0.0013002075720578
2022-07-26 15:00:00,2022.5670773442848,59786.625,-0.0013955933973193
2022-07-26 18:00:00,2022.567419575633,59786.75,-0.0013646243605762
2022-07-26 21:00:00,2022.5677618069815,59786.875,-0.0013616296928375
2022-07-27 00:00:00,2022.56810403833,59787.0,-0.0012633583974093
2022-07-27 03:00:00,2022.5684462696784,59787.125,-0.0012932776007801
2022-07-27 06:00:00,2022.5687885010268,59787.25,-0.0011886765714734
2022-07-27 09:00:00,2022.569130732375,59787.375,-0.0009458362474106252
2022-07-27 12:00:00,2022.5694729637235,59787.5,-0.0006895650294609368
2022-07-27 15:00:00,2022.569815195072,59787.625,-0.00046563753858208656
2022-07-27 18:00:00,2022.5701574264203,59787.75,-0.00019028765382245183
2022-07-27 21:00:00,2022.5704996577686,59787.875,0.00012144253560109064
